timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1741669680000,2025-03-11T05:08:00Z,1842-1-1-001,283,858,782,1194,
1741669740000,2025-03-11T05:09:00Z,1842-1-1-001,200,758,570,969,
1741669800000,2025-03-11T05:10:00Z,1842-1-1-001,28,0,0,28,
1741669860000,2025-03-11T05:11:00Z,1842-1-1-001,0,0,0,0,
1741669920000,2025-03-11T05:12:00Z,1842-1-1-001,0,0,0,0,
1741669980000,2025-03-11T05:13:00Z,1842-1-1-001,261,199,591,676,
1741670040000,2025-03-11T05:14:00Z,1842-1-1-001,60,32,6,68,
1741670100000,2025-03-11T05:15:00Z,1842-1-1-001,0,47,21,51,
1741670160000,2025-03-11T05:16:00Z,1842-1-1-001,0,0,0,0,
1741670220000,2025-03-11T05:17:00Z,1842-1-1-001,0,0,0,0,
1741670280000,2025-03-11T05:18:00Z,1842-1-1-001,0,0,0,0,
1741670340000,2025-03-11T05:19:00Z,1842-1-1-001,368,629,735,1035,
1741670400000,2025-03-11T05:20:00Z,1842-1-1-001,0,0,0,0,
1741670460000,2025-03-11T05:21:00Z,1842-1-1-001,0,0,0,0,
1741670520000,2025-03-11T05:22:00Z,1842-1-1-001,0,0,0,0,
1741670580000,2025-03-11T05:23:00Z,1842-1-1-001,106,590,55,601,
1741670640000,2025-03-11T05:24:00Z,1842-1-1-001,16,484,346,595,
1741670700000,2025-03-11T05:25:00Z,1842-1-1-001,266,358,894,999,
1741670760000,2025-03-11T05:26:00Z,1842-1-1-001,698,791,2273,2505,
1741670820000,2025-03-11T05:27:00Z,1842-1-1-001,4218,2924,3336,6121,
